2021-11-28 13:30:45.359 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests], using SpringBootContextLoader
2021-11-28 13:30:45.406 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-11-28 13:30:45.409 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests]: ItcastMpSpringbootApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-11-28 13:30:45.706 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplication for test class com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests
2021-11-28 13:30:45.991 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-11-28 13:30:46.031 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3e78b6a5, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@769a1df5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@41f69e84, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7975d1d8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2438dcd, org.springframework.test.context.transaction.TransactionalTestExecutionListener@24105dc5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5167f57d, org.springframework.test.context.event.EventPublishingTestExecutionListener@64b0598, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@18f8cd79, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3e2055d6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@50029372, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@e3b3b2f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@50f6ac94, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6cc4cdb9]
2021-11-28 13:30:47.020 [main] INFO  c.s.i.ItcastMpSpringbootApplicationTests - Starting ItcastMpSpringbootApplicationTests using Java 1.8.0_201 on DESKTOP-B299C20 with PID 13728 (started by augt2 in C:\Users\augt2\Desktop\SpringMVC\project\itcast-mp-springboot)
2021-11-28 13:30:47.021 [main] INFO  c.s.i.ItcastMpSpringbootApplicationTests - No active profile set, falling back to default profiles: default
2021-11-28 13:30:48.615 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-11-28 13:30:48.982 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-11-28 13:30:51.517 [main] INFO  c.s.i.ItcastMpSpringbootApplicationTests - Started ItcastMpSpringbootApplicationTests in 5.337 seconds (JVM running for 8.061)
2021-11-28 13:30:52.822 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2021-11-28 13:30:52.835 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2021-11-28 16:08:43.456 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests], using SpringBootContextLoader
2021-11-28 16:08:43.484 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-11-28 16:08:43.487 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests]: ItcastMpSpringbootApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-11-28 16:08:44.030 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplication for test class com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests
2021-11-28 16:08:44.514 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-11-28 16:08:44.570 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3e78b6a5, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@769a1df5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@41f69e84, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7975d1d8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2438dcd, org.springframework.test.context.transaction.TransactionalTestExecutionListener@24105dc5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5167f57d, org.springframework.test.context.event.EventPublishingTestExecutionListener@64b0598, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@18f8cd79, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3e2055d6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@50029372, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@e3b3b2f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@50f6ac94, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6cc4cdb9]
2021-11-28 16:08:45.839 [main] INFO  c.s.i.ItcastMpSpringbootApplicationTests - Starting ItcastMpSpringbootApplicationTests using Java 1.8.0_201 on DESKTOP-B299C20 with PID 4548 (started by augt2 in C:\Users\augt2\Desktop\SpringMVC\project\itcast-mp-springboot)
2021-11-28 16:08:45.840 [main] INFO  c.s.i.ItcastMpSpringbootApplicationTests - No active profile set, falling back to default profiles: default
2021-11-28 16:08:47.649 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-11-28 16:08:48.003 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-11-28 16:08:49.690 [main] INFO  c.s.i.ItcastMpSpringbootApplicationTests - Started ItcastMpSpringbootApplicationTests in 4.899 seconds (JVM running for 8.164)
2021-11-28 16:08:50.777 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2021-11-28 16:08:50.787 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2021-11-28 16:34:57.399 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests], using SpringBootContextLoader
2021-11-28 16:34:57.423 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-11-28 16:34:57.425 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests]: ItcastMpSpringbootApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-11-28 16:34:58.434 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplication for test class com.stonebridge.itcastmpspringboot.ItcastMpSpringbootApplicationTests
2021-11-28 16:34:58.818 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-11-28 16:34:58.886 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@f9879ac, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@37f21974, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5f4d427e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6e521c1e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@224b4d61, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5d5d9e5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@303e3593, org.springframework.test.context.event.EventPublishingTestExecutionListener@4ef27d66, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@362a019c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1d9bec4d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5c48c0c0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@10c8f62, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@674c583e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@25f7391e]
2021-11-28 16:35:00.153 [main] INFO  c.s.i.ItcastMpSpringbootApplicationTests - Starting ItcastMpSpringbootApplicationTests using Java 1.8.0_201 on DESKTOP-B299C20 with PID 13960 (started by augt2 in C:\Users\augt2\Desktop\SpringMVC\project\itcast-mp-springboot)
2021-11-28 16:35:00.154 [main] INFO  c.s.i.ItcastMpSpringbootApplicationTests - No active profile set, falling back to default profiles: default
2021-11-28 16:35:03.348 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-11-28 16:35:03.942 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-11-28 16:35:06.328 [main] INFO  c.s.i.ItcastMpSpringbootApplicationTests - Started ItcastMpSpringbootApplicationTests in 7.243 seconds (JVM running for 11.856)
2021-11-28 16:35:10.449 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2021-11-28 16:35:10.493 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
